PLZ Katalog Schweiz;;;;;
Land;Kanton;PLZ;Zusatzziffer;Gemeinde;Ort
Schweiz;BE;4900;0;Langenthal;Langenthal
Schweiz;BE;4916;0;Langenthal;Untersteckholz
Schweiz;BE;4932;0;Lotzwil;Lotzwil
Schweiz;BE;4932;2;Madiswil;Gutenburg
Schweiz;BE;4934;0;Madiswil;Madiswil
Schweiz;BE;4935;0;Madiswil;Leimiswil
Schweiz;BE;4936;0;Madiswil;Kleindietwil
Schweiz;BE;4917;0;Melchnau;Melchnau
Schweiz;BE;4924;0;Obersteckholz;Obersteckholz
Schweiz;BE;4943;0;Oeschenbach;Oeschenbach
Schweiz;BE;4919;0;Reisiswil;Reisiswil
Schweiz;BE;4914;0;Roggwil (BE);Roggwil BE
Schweiz;BE;4938;0;Rohrbach;Rohrbach
Schweiz;BE;4938;2;Rohrbachgraben;Rohrbachgraben
Schweiz;BE;4933;0;Rütschelen;Rütschelen
Schweiz;BE;4911;0;Schwarzhäusern;Schwarzhäusern
Schweiz;BE;4922;0;Thunstetten;Bützberg
Schweiz;BE;4922;2;Thunstetten;Thunstetten
Schweiz;BE;4937;0;Ursenbach;Ursenbach
Schweiz;BE;4923;0;Wynau;Wynau
Schweiz;BE;3004;0;Bern;Bern
Schweiz;BE;3005;0;Bern;Bern
Schweiz;BE;3006;0;Bern;Bern
Schweiz;BE;3007;0;Bern;Bern
Schweiz;BE;3008;0;Bern;Bern
Schweiz;BE;3010;0;Bern;Bern
Schweiz;BE;3011;0;Bern;Bern
Schweiz;BE;3011;0;Bern;Bern
Schweiz;BE;3012;0;Bern;Bern
Schweiz;BE;3013;0;Bern;Bern
Schweiz;BE;3014;0;Bern;Bern
Schweiz;BE;3015;0;Bern;Bern
Schweiz;BE;3018;0;Bern;Bern
Schweiz;BE;3019;0;Bern;Bern
Schweiz;BE;3020;0;Bern;Bern
Schweiz;BE;3027;0;Bern;Bern
Schweiz;BE;3065;0;Bolligen;Bolligen
Schweiz;BE;3047;0;Bremgarten bei Bern;Bremgarten b. Bern
Schweiz;BE;3037;0;Kirchlindach;Herrenschwanden
Schweiz;BE;3038;0;Kirchlindach;Kirchlindach
Schweiz;BE;3084;0;Köniz;Wabern
Schweiz;BE;3095;0;Köniz;Spiegel b. Bern
Schweiz;BE;3097;0;Köniz;Liebefeld
Schweiz;BE;3098;0;Köniz;Köniz
Schweiz;BE;3098;1;Köniz;Schliern b. Köniz
Schweiz;BE;3144;0;Köniz;Gasel
Schweiz;BE;3145;0;Köniz;Niederscherli
Schweiz;BE;3147;0;Köniz;Mittelhäusern
Schweiz;BE;3172;0;Köniz;Niederwangen b. Bern
Schweiz;BE;3173;0;Köniz;Oberwangen b. Bern
Schweiz;BE;3174;0;Köniz;Thörishaus
Schweiz;BE;3073;0;Muri bei Bern;Gümligen
Schweiz;BE;3074;0;Muri bei Bern;Muri b. Bern
Schweiz;BE;3096;0;Oberbalm;Oberbalm
Schweiz;BE;3066;0;Stettlen;Stettlen
Schweiz;BE;3067;0;Vechigen;Boll
Schweiz;BE;3068;0;Vechigen;Utzigen
Schweiz;BE;3032;0;Wohlen bei Bern;Hinterkappelen
Schweiz;BE;3033;0;Wohlen bei Bern;Wohlen b. Bern
Schweiz;BE;3034;0;Wohlen bei Bern;Murzelen
Schweiz;BE;3043;0;Wohlen bei Bern;Uettligen
Schweiz;BE;3044;2;Wohlen bei Bern;Innerberg
Schweiz;BE;3049;0;Wohlen bei Bern;Säriswil
Schweiz;BE;3052;0;Zollikofen;Zollikofen
Schweiz;BE;3048;0;Ittigen;Worblaufen
Schweiz;BE;3063;0;Ittigen;Ittigen
Schweiz;BE;3072;0;Ostermundigen;Ostermundigen
Schweiz;BE;2502;0;Biel/Bienne;Biel/Bienne
Schweiz;BE;2503;0;Biel/Bienne;Biel/Bienne
Schweiz;BE;2504;0;Biel/Bienne;Biel/Bienne
Schweiz;BE;2505;0;Biel/Bienne;Biel/Bienne
Schweiz;BE;2532;0;Evilard;Macolin
Schweiz;BE;2533;0;Evilard;Evilard
Schweiz;BE;3296;0;Arch;Arch
Schweiz;BE;3263;0;Büetigen;Büetigen
Schweiz;BE;3294;0;Büren an der Aare;Büren an der Aare
Schweiz;BE;3264;0;Diessbach bei Büren;Diessbach b. Büren
